ID,Speaker,utterance,annotation,list-ID
370,FAT,"je compte jusqu'à trois pour qu'on aille se doucher Adrien , un . [media]","[NULL,NULL,NULL]",2
371,CHI,non c'est cassé ! [media],"[NULL,NULL,NULL]",1
371,CHI,non c'est cassé ! [media],"[NULL,NULL,NULL]",2
372,FAT,"allez , un , deux , trois ! [media]","[NULL,NULL,NULL]",1
372,FAT,"allez , un , deux , trois ! [media]","[NULL,NULL,NULL]",2
373,CHI,non non ! [media],"[NULL,NULL,NULL]",1
373,CHI,non non ! [media],"[NULL,NULL,NULL]",2
374,FAT,"allez , viens avec papa ! [media]","[NULL,NULL,NULL]",1
374,FAT,"allez , viens avec papa ! [media]","[NULL,NULL,NULL]",2
375,FAT,www . [media],"[NULL,NULL,NULL]",1
375,FAT,www . [media],"[NULL,NULL,NULL]",2
376,CHI,papa ! [media],"[NULL,NULL,NULL]",1
376,CHI,papa ! [media],"[NULL,NULL,NULL]",2
377,FAT,qu'est-ce qu' y a ? [media],"[NULL,NULL,NULL]",1
377,FAT,qu'est-ce qu' y a ? [media],"[NULL,NULL,NULL]",2
378,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",1
378,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",2
379,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",1
379,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",2
380,FAT,oh ben ! [media],"[NULL,NULL,NULL]",1
380,FAT,oh ben ! [media],"[NULL,NULL,NULL]",2
381,CHI,donne les mains donne les mains ! [media],"[NULL,NULL,NULL]",1
381,CHI,donne les mains donne les mains ! [media],"[NULL,NULL,NULL]",2
382,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",1
382,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",2
383,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",1
383,CHI,donne les mains ! [media],"[NULL,NULL,NULL]",2
384,FAT,hop là allez ! [media],"[NULL,NULL,NULL]",1
384,FAT,hop là allez ! [media],"[NULL,NULL,NULL]",2
385,CHI,non papa ! [media],"[NULL,NULL,NULL]",1
385,CHI,non papa ! [media],"[NULL,NULL,NULL]",2
386,FAT,"si regarde , on se douche vite fait comme ça ! [media]","[NULL,NULL,NULL]",1
386,FAT,"si regarde , on se douche vite fait comme ça ! [media]","[NULL,NULL,NULL]",2
387,CHI,non non non ! [media],"[NULL,NULL,NULL]",1
387,CHI,non non non ! [media],"[NULL,NULL,NULL]",2
388,FAT,si ! [media],"[NULL,NULL,NULL]",1
388,FAT,si ! [media],"[NULL,NULL,NULL]",2
389,FAT,"fais pipi là alors , là , ici ! [media]","[NULL,NULL,NULL]",1
